station_id,station_name,lat,lon,county,waterbody,huc8,organization,batch_year
B98_139005,139005_B98,33.9603,-118.717,FEDERAL WATERS,,,CLAEMD,1998
B98_139006,139006_B98,33.9428,-118.717,FEDERAL WATERS,,,CLAEMD,1998
B98_140001,140001_B98,33.9953,-118.805,LOS ANGELES,,,CLAEMD,1998
B98_140002,140002_B98,33.9883,-118.805,LOS ANGELES,,,CLAEMD,1998
B98_140003,140003_B98,33.9806,-118.805,LOS ANGELES,,,CLAEMD,1998
B98_140004,140004_B98,33.9583,-118.805,LOS ANGELES,,,CLAEMD,1998
B98_140005,140005_B98,33.928,-118.805,FEDERAL WATERS,,,CLAEMD,1998
B98_140006,140006_B98,33.9125,-118.805,FEDERAL WATERS,,,CLAEMD,1998
SCBPP_0038,0038_SCBPP,34.4442,-120.06448,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0046,0046_SCBPP,34.44067,-120.30175,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0059,0059_SCBPP,34.43667,-120.23307,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0060,0060_SCBPP,34.4361,-120.00448,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0103,0103_SCBPP,34.42055,-120.18388,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0112,0112_SCBPP,34.41777,-120.07648,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0115,0115_SCBPP,34.41638,-120.33678,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0122,0122_SCBPP,34.41472,-120.41442,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0189,0189_SCBPP,34.39905,-119.62103,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0228,0228_SCBPP,34.38837,-119.7885,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0232,0232_SCBPP,34.38673,-119.8142,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0234,0234_SCBPP,34.38578,-119.68078,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0245,0245_SCBPP,34.38245,-120.41465,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0252,0252_SCBPP,34.38093,-119.62662,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0255,0255_SCBPP,34.38,-120.3991,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0289,0289_SCBPP,34.3694,-119.64722,SANTA BARBARA,,,SCCWRP,1994
SCBPP_0334,0334_SCBPP,34.35115,-119.7759,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0360,0360_SCBPP,34.34122,-119.69108,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0365,0365_SCBPP,34.33767,-119.76462,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0371,0371_SCBPP,34.33517,-119.64275,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0381,0381_SCBPP,34.33125,-119.78365,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0398,0398_SCBPP,34.32423,-119.53312,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0407,0407_SCBPP,34.32157,-119.56273,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0446,0446_SCBPP,34.30162,-119.68037,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0480,0480_SCBPP,34.28488,-119.64237,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0499,0499_SCBPP,34.27447,-119.64338,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0503,0503_SCBPP,34.2729,-119.57535,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0530,0530_SCBPP,34.25817,-119.32553,VENTURA,,,SCCWRP,1994
SCBPP_0535,0535_SCBPP,34.25615,-119.53995,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0537,0537_SCBPP,34.25433,-119.43502,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0540,0540_SCBPP,34.2541,-119.30723,VENTURA,,,SCCWRP,1994
SCBPP_0542,0542_SCBPP,34.25402,-119.49203,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0577,0577_SCBPP,34.24008,-119.59933,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0604,0604_SCBPP,34.22755,-119.61892,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0617,0617_SCBPP,34.223,-119.2823,VENTURA,,,SCCWRP,1994
SCBPP_0670,0670_SCBPP,34.20282,-119.66537,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0682,0682_SCBPP,34.19715,-119.63373,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0708,0708_SCBPP,34.18492,-119.56937,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0714,0714_SCBPP,34.17782,-119.45438,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0739,0739_SCBPP,34.16478,-119.4461,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0753,0753_SCBPP,34.1557,-119.42623,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0757,0757_SCBPP,34.152,-119.37165,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0814,0814_SCBPP,34.09568,-119.16613,VENTURA,,,SCCWRP,1994
SCBPP_0815,0815_SCBPP,34.0953,-119.29272,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0823,0823_SCBPP,34.07043,-119.25042,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0827,0827_SCBPP,34.08243,-119.21852,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0834,0834_SCBPP,34.07738,-119.08557,VENTURA,,,SCCWRP,1994
SCBPP_0890,0890_SCBPP,34.02735,-118.93965,LOS ANGELES,,,SCCWRP,1994
SCBPP_0903,0903_SCBPP,34.02183,-118.68167,LOS ANGELES,,,CLAEMD,1994
SCBPP_0916,0916_SCBPP,34.01583,-118.63383,LOS ANGELES,,,CLAEMD,1994
SCBPP_0918,0918_SCBPP,34.01417,-118.69633,LOS ANGELES,,,CLAEMD,1994
SCBPP_0920,0920_SCBPP,34.01333,-118.66217,LOS ANGELES,,,CLAEMD,1994
SCBPP_0936,0936_SCBPP,34.00783,-118.68317,LOS ANGELES,,,CLAEMD,1994
SCBPP_0937,0937_SCBPP,34.00667,-119.02963,FEDERAL WATERS,,,SCCWRP,1994
SCBPP_0942,0942_SCBPP,34.00667,-118.7205,LOS ANGELES,,,CLAEMD,1994
SCBPP_0943,0943_SCBPP,34.0065,-118.59533,LOS ANGELES,,,CLAEMD,1994
SCBPP_0949,0949_SCBPP,34.00383,-118.6385,LOS ANGELES,,,CLAEMD,1994
SCBPP_0960,0960_SCBPP,33.99883,-118.59433,LOS ANGELES,,,CLAEMD,1994
SCBPP_0972,0972_SCBPP,33.99567,-118.67217,LOS ANGELES,,,CLAEMD,1994
SCBPP_0976,0976_SCBPP,33.9944,-119.00008,FEDERAL WATERS,,,SCCWRP,1994
B98_112002,112002_B98,33.1906,-117.411,SAN DIEGO,,,MEC,1998
B98_116003,116003_B98,33.4343,-117.693,ORANGE,,,MEC,1998
B98_112004,112004_B98,33.1746,-117.437,SAN DIEGO,,,MEC,1998
B98_112003,112003_B98,33.1852,-117.42,SAN DIEGO,,,MEC,1998
B98_101001,101001_B98,32.5403,-117.132,SAN DIEGO,,,CSD,1998
B98_116004,116004_B98,33.4228,-117.711,ORANGE,,,MEC,1998
B98_101002,101002_B98,32.5406,-117.142,SAN DIEGO,,,CSD,1998
B98_101003,101003_B98,32.5393,-117.154,SAN DIEGO,,,CSD,1998
B98_111103,111103_B98,33.1648,-117.398,SAN DIEGO,,,MEC,1998
B98_112103,112103_B98,33.1927,-117.426,SAN DIEGO,,,MEC,1998
B98_112901,112901_B98,33.2177,-117.419,SAN DIEGO,,,MEC,1998
B98_111902,111902_B98,33.1851,-117.402,SAN DIEGO,,,MEC,1998
B98_112902,112902_B98,33.2124,-117.428,SAN DIEGO,,,MEC,1998
