station_id,station_name,lat,lon,county,waterbody,huc8
519DRYCRK,Dry Creek at Roseville WWTP,38.734098,-121.3144446,PLACER,,
511SOL011,Old Alamo Creek at Lewis Road,38.34643,-121.89702,SOLANO,,
544SJRNBC,San Joaquin River near Buckley Cove,37.97417,-121.37601,SAN JOAQUIN,,
519DRYRLB,Terminus of Dry Creek at Rio Linda Blvd,38.67109,-121.45415,SACRAMENTO,,
544SAC002,Mokelumne River at New Hope Road,38.23611,-121.41889,SAN JOAQUIN,,
511OACSBL,Old Alamo Creek at Sunnybrook Ln.,38.344197,-121.869089,SOLANO,,
541SJC501,San Joaquin River at Airport Way near Vernalis,37.675555556,-121.264166667,SAN JOAQUIN,,
511ULCABR,Ulatis Creek at Brown Road,38.307,-121.7942,SOLANO,,
544LSAC13,San Joaquin R at Buckley Cove,37.971833,-121.373619,SAN JOAQUIN,,
Cent-012,Central Delta Subregion - Cent-012,38.023199069,-121.513719409,SAN JOAQUIN,,
519AMNDVY,American River at Discovery Park,38.60094,-121.5055,SACRAMENTO,,
Yolo-020,Yolo Bypass - Cache Slough Subregion - Yolo-020,38.278806263,-121.67779651,SOLANO,,
511NACUOA,New Alamo Creek upstream of confluence with Old Alamo Creek,38.329939,-121.888569,SOLANO,,
Sacr-022,Sacramento River Subregion - Sacr-022,38.41424166,-121.521469089,SACRAMENTO,,
Sout-021,South Delta Subregion - Sout-021,37.819768626,-121.52645855,SAN JOAQUIN,,
Conf-006,Delta Confluence Subregion - Conf-006,38.062165255,-121.843029896,SACRAMENTO,,
519DRYWAB,Dry Creek at Watt Ave bridge,38.73456,-121.3929,PLACER,,
510SACC3A,Sacramento River at Hood Monitoring Station Platform,38.36771,-121.5205,SACRAMENTO,,
Sacr-011,Sacramento River Subregion - Sacr-011,38.514540924,-121.545627029,SACRAMENTO,,
Nort-017,Northeast Delta Subregion - Nort-017,38.142763306,-121.470360299,SAN JOAQUIN,,
Sout-023,South Delta Subregion - Sout-023,37.99589916,-121.368843488,SAN JOAQUIN,,
Conf-021,Delta Confluence Subregion - Conf-021,38.02724214,-121.811241493,SACRAMENTO,,
Yolo-001,Yolo Bypass - Cache Slough Subregion - Yolo-001,38.279517986,-121.660996874,SOLANO,,
Nort-011,Northeast Delta Subregion - Nort-011,38.145960504,-121.600692278,SACRAMENTO,,
Nort-014,Northeast Delta Subregion - Nort-014,38.246965781,-121.498288437,SACRAMENTO,,
544MDRBH4,Middle River at Borden Hwy (Hwy 4),37.89083,-121.48833,SAN JOAQUIN,,
Sacr-002,Sacramento River Subregion - Sacr-002,38.26206555,-121.651285253,SOLANO,,
Yolo-018,Yolo Bypass - Cache Slough Subregion - Yolo-018,38.260249435,-121.678858142,SOLANO,,
Sacr-005,Sacramento River Subregion - Sacr-005,38.188992217,-121.641271313,SACRAMENTO,,
Nort-022,Northeast Delta Subregion - Nort-022,38.269634886,-121.496413714,SACRAMENTO,,
207SRD10A,Sacramento River at Mallard Island,38.04288,-121.92011,CONTRA COSTA,Suisun Bay,
544ADVLM6,Lower Mokelumne River 6-544ADVLM6,38.25542,-121.44006,SAN JOAQUIN,,
511OACCLN,Old Alamo Creek at Chicorp Ln.,38.347147,-121.887617,SOLANO,,
511NACARD,Terminus of New Alamo Creek at Rio Dixon Rd before confluence with Ulatis Creek,38.336511,-121.823136,SOLANO,,
519SUT108,Sacramento River at Elkhorn Boat Launch Facility,38.67245,-121.625,SACRAMENTO,,
519SHCDDC,Steelhead Creek main stem downstream of confluence with Dry Creek,38.66407,-121.4772,SACRAMENTO,,
Sacr-003,Sacramento River Subregion - Sacr-003,38.239172209,-121.521494278,SACRAMENTO,,
Sacr-006,Sacramento River Subregion - Sacr-006,38.24024113,-121.601981781,SACRAMENTO,,
Sacr-012,Sacramento River Subregion - Sacr-012,38.192723255,-121.567524791,SACRAMENTO,,
Yolo-009,Yolo Bypass - Cache Slough Subregion - Yolo-009,38.24957203,-121.674817379,SOLANO,,
Yolo-011,Yolo Bypass - Cache Slough Subregion - Yolo-011,38.30568432,-121.657210914,SOLANO,,
Yolo-014,Yolo Bypass - Cache Slough Subregion - Yolo-014,38.381948621,-121.626014351,YOLO,,
