station_id,station_name,lat,lon,waterbody,subbasin,organization
15,"Antelope Creek, lower",42.019441,-120.968522,Antelope Creek,Lost,Bureau of Land Management
144,"Antelope Creek, upper",42.039783,-121.066896,Antelope Creek,Lost,Bureau of Land Management
66,"Barnes Valley Creek, lower",42.173996,-121.044495,Barnes Valley Creek,Lost,Bureau of Land Management
88,"Barnes Valley Creek, upper",42.165216,-120.999139,Barnes Valley Creek,Lost,Bureau of Land Management
1859,Beaver Creek above Corral Creek,42.11888889,-122.37,Beaver Creek,Upper Klamath,Bureau of Land Management
1860,Beaver Creek above Corral Creek (site operated by Friends of Grennsprings),42.11888889,-122.37,Beaver Creek,Upper Klamath,Bureau of Land Management
1861,Beaver Creek above Corral Creek (site operated by Southern Oregon University),42.11888889,-122.37,Beaver Creek,Upper Klamath,Bureau of Land Management
164,Ben Hall Creek,42.224557,-121.151625,Ben Hall Creek,Lost,Bureau of Land Management
13,"Buck Lake Springs, at control gate",42.267418,-122.199054,Spencer Creek,Upper Klamath,Bureau of Land Management
1865,Corral Creek @ confluence with Beaver Creek,42.11861111,-122.3702778,Corral Creek,Upper Klamath,Bureau of Land Management
1866,Corral Creek @ confluence with Beaver Creek (site operated by Friends of Grennsprings),42.11861111,-122.3702778,Corral Creek,Upper Klamath,Bureau of Land Management
1867,Corral Creek @ confluence with Beaver Creek (site operated by Southern Oregon University),42.11861111,-122.3702778,Corral Creek,Upper Klamath,Bureau of Land Management
1868,Dutch Oven Creek above confluence with Camp Creek,42.02333333,-122.4697222,Dutch Oven Creek,Upper Klamath,Bureau of Land Management
137,Gerber Reservoir North Campground,42.22,-121.135,Gerber Reservoir,Lost,Bureau of Land Management
10,Gerber Reservoir South Campground,42.202,-121.128,Gerber Reservoir,Lost,Bureau of Land Management
1869,Jenny Creek @ Irongate Reservoir,41.97722222,-122.3983333,Jenny Creek,Upper Klamath,Bureau of Land Management
1870,"Jenny Creek above Beaver Creek, Sec.33 SW1/4 SE1/4",42.12805556,-122.3530556,Jenny Creek,Upper Klamath,Bureau of Land Management
1871,Jenny Creek above Johnson Creek,42.16472222,-122.3219444,Jenny Creek,Upper Klamath,Bureau of Land Management
